Tijd,Versnelling 1,Versnelling 2
1.2000240004800095e-06,1.1076826617924285e-12,0.0
1.8000360007200145e-06,1.1150156859269894e-12,0.0
2.400048000960019e-06,1.1223964476150165e-12,0.0
3.000060001200024e-06,1.129825252187708e-12,0.0
3.600072001440029e-06,1.1373024068931923e-12,0.0
4.2000840016800325e-06,1.1448282209082722e-12,0.0
4.800096001920038e-06,1.1524030053501763e-12,0.0
5.400108002160042e-06,1.1600270732889535e-12,0.0
6.000120002400048e-06,1.1677007397586774e-12,0.0
6.600132002640053e-06,1.1754243217705957e-12,0.0
7.200144002880057e-06,1.1831981383242477e-12,0.0
7.800156003120063e-06,1.1910225104202136e-12,0.0
8.400168003360065e-06,1.1988977610730007e-12,0.0
9.00018000360007e-06,1.2068242153214132e-12,0.0
9.600192003840076e-06,1.2148022002441444e-12,0.0
1.0200204004080082e-05,1.2228320449691478e-12,0.0
1.0800216004320086e-05,1.2309140806884653e-12,0.0
1.140022800456009e-05,1.239048640669343e-12,0.0
1.2000240004800095e-05,1.247236060268559e-12,0.0
1.26002520050401e-05,1.255476676943864e-12,0.0
1.3200264005280105e-05,1.2637708302679028e-12,0.0
1.3800276005520109e-05,1.272118861940075e-12,0.0
1.4400288005760114e-05,1.2805211158009213e-12,0.0
1.500030000600012e-05,1.2889779378445468e-12,0.0
1.5600312006240125e-05,1.2974896762315612e-12,0.0
1.6200324006480128e-05,1.3060566813035978e-12,0.0
1.6800336006720133e-05,1.3146793055940484e-12,0.0
1.740034800696014e-05,1.323357903845834e-12,0.0
1.800036000720014e-05,1.332092833020671e-12,0.0
1.8600372007440147e-05,1.3408844523146105e-12,0.0
1.9200384007680152e-05,1.3497331231730512e-12,0.0
1.980039600792016e-05,1.3586392093005737e-12,0.0
2.0400408008160164e-05,1.3676030766808376e-12,0.0
2.100042000840017e-05,1.3766250935825549e-12,0.0
2.1600432008640168e-05,1.3857056305822821e-12,0.0
2.2200444008880177e-05,1.3948450605708904e-12,0.0
2.2800456009120176e-05,1.4040437587764508e-12,0.0
2.3400468009360185e-05,1.4133021027628829e-12,0.0
2.400048000960019e-05,1.422620472468904e-12,0.0
2.46004920098402e-05,1.4319992501952743e-12,0.0
2.52005040100802e-05,1.4414388206414043e-12,0.0
2.5800516010320204e-05,1.4509395709037778e-12,0.0
2.640052801056021e-05,1.4605018905045643e-12,0.0
2.700054001080021e-05,1.4701261713955725e-12,0.0
2.7600552011040217e-05,1.4798128079780713e-12,0.0
2.8200564011280223e-05,1.489562197118714e-12,0.0
2.880057601152023e-05,1.499374738159255e-12,0.0
2.9400588011760237e-05,1.5092508329404144e-12,0.0
